Number,Name,link,cmp,PE,MarCap,DivYld,NpQtr,QtrProfitVar,SalesQtr,QtrSalesVar,ROCE,oneYRetun
204.,Paramount Comm.,/company/PARACABLES/consolidated/,66.05,26.51,1851.96,0.00,22.03,53.84,284.25,30.34,13.78,130.94
205.,Bajaj Hindusthan,/company/BAJAJHIND/consolidated/,28.90,,3682.91,0.00,20.08,134.41,1740.63,21.65,0.91,130.28
206.,GE Power,/company/GEPIL/consolidated/,239.90,,1608.33,0.00,0.37,100.22,456.22,-14.35,-29.42,129.57
207.,Angel One,/company/ANGELONE/consolidated/,2474.20,19.74,20780.80,1.61,260.30,14.17,1059.00,41.46,43.95,129.24
208.,Bajaj Auto,/company/BAJAJ-AUTO/consolidated/,8640.20,33.07,244757.70,1.62,2032.62,38.02,12165.33,30.55,26.18,127.07
209.,HLV,/company/HLVLTD/,21.40,67.52,1407.12,0.00,9.53,209.42,55.37,21.72,2.94,126.46
210.,Solar Industries,/company/SOLARINDS/consolidated/,8607.10,96.62,77970.11,0.09,221.94,-0.61,1429.14,-21.12,34.72,125.53
211.,Welspun Living,/company/WELSPUNLIV/consolidated/,144.05,21.16,13975.15,0.07,179.05,317.13,2410.87,28.98,6.01,125.25
212.,Orissa Minerals,/company/ORISSAMINE/,5777.10,,3461.47,0.00,2.32,126.10,28.28,257.52,-1.48,125.06
213.,Sandhar Tech,/company/SANDHAR/consolidated/,481.70,29.59,2907.50,0.52,25.37,28.20,889.52,23.11,8.70,124.10
214.,New India Assura,/company/NIACL/consolidated/,223.75,39.71,36929.95,0.86,721.70,-1.92,11366.01,7.65,4.87,124.09
215.,Thangamayil Jew.,/company/THANGAMAYL/,1149.50,25.01,3152.42,0.52,28.00,103.34,895.90,20.33,16.82,123.89
,,,,,,,,,,,,
216.,Sundaram Fin.Hol,/company/SUNDARMHLD/consolidated/,178.05,10.91,3954.56,1.68,102.44,58.70,25.31,25.98,1.43,123.82
217.,Tanfac Inds.,/company/506854/,2046.45,32.81,2041.34,0.32,10.08,-37.97,87.78,-11.11,47.72,123.75
218.,DLF,/company/DLF/consolidated/,823.05,85.89,203852.41,0.49,655.71,26.60,1521.25,1.77,4.61,122.51
219.,Jayaswal Neco,/company/JAYNECOIND/,48.70,22.11,4728.76,0.00,88.76,-17.99,1556.19,-7.68,9.56,122.37
220.,Pun. & Sind Bank,/company/PSB/,56.25,41.82,38184.66,0.85,114.31,-69.37,2491.03,18.20,5.26,122.33
221.,Ganesh Housing,/company/GANESHHOUC/consolidated/,689.50,14.86,5756.06,0.35,100.56,375.91,181.43,171.40,23.05,122.20
222.,Reliance Power,/company/RPOWER/consolidated/,22.80,,8678.27,0.00,-1136.75,-420.46,1946.58,3.21,3.42,121.36
223.,Jai Corp,/company/JAICORPLTD/consolidated/,279.05,136.61,4982.26,0.18,11.94,45.51,106.89,-17.64,3.31,121.29
224.,Repco Home Fin,/company/REPCOHOME/,395.65,6.71,2473.66,0.68,99.44,23.13,387.30,18.44,9.04,120.85
225.,PCBL Ltd,/company/PCBL/consolidated/,246.90,19.24,9270.90,2.23,147.98,52.40,1656.76,21.52,16.92,120.64
,,,,,,,,,,,,
226.,Guj Inds. Power,/company/GIPCL/,161.65,12.36,2440.43,2.32,46.62,36.72,353.56,-6.09,8.06,120.53
227.,Jyothy Labs,/company/JYOTHYLAB/consolidated/,404.85,42.49,14877.17,0.74,90.92,34.87,677.50,10.58,18.11,120.27
228.,Elecon Engg.Co,/company/ELECON/consolidated/,839.10,29.45,9418.59,0.24,90.40,44.09,473.56,21.79,24.90,119.75
229.,Kirloskar Oil,/company/KIRLOSENG/consolidated/,834.40,30.86,12152.13,0.60,89.39,26.41,1390.10,13.90,13.44,119.75
230.,KIOCL,/company/KIOCL/,388.40,564.93,23619.93,0.00,39.03,215.20,549.48,90.86,-4.54,119.68
231.,Alok Industries,/company/ALOKINDS/consolidated/,27.15,,13509.90,0.00,-229.92,7.97,1253.03,-27.05,-6.86,118.95
232.,Gulf Oil Lubric.,/company/GULFOILLUB/,878.90,15.22,4334.32,2.84,80.74,28.87,817.26,4.63,23.48,118.88
233.,SPARC,/company/SPARC/,359.05,,11688.98,0.00,-99.65,-1081.77,13.86,-89.43,-106.19,118.47
234.,Rategain Travel,/company/RATEGAIN/consolidated/,731.35,66.69,8613.69,0.00,40.42,205.52,252.02,82.24,10.20,118.44
235.,Precision Camshf,/company/PRECAM/consolidated/,194.50,51.93,1853.48,0.51,24.46,-32.36,257.71,-7.26,8.30,118.29
236.,HDFC AMC,/company/HDFCAMC/,3666.15,43.94,78251.80,1.31,489.72,32.57,671.32,19.97,32.31,118.21
237.,Oil India,/company/OIL/consolidated/,545.70,8.50,59192.28,3.67,2607.66,2.79,9614.29,3.36,25.35,117.71
238.,Hemisphere Prop,/company/HEMIPROP/,190.60,,5446.37,0.00,-1.81,7.65,0.13,44.44,-0.30,117.70
239.,Balu Forge,/company/531112/consolidated/,197.25,25.10,2023.63,0.00,25.45,122.27,147.08,64.54,26.90,117.24
240.,Indian Hume Pipe,/company/INDIANHUME/,268.15,28.30,1414.00,0.37,15.14,19.68,318.53,-21.30,11.62,117.21
,,,,,,,,,,,,
241.,Wonderla Holiday,/company/WONDERLA/,859.55,28.53,4860.79,0.29,37.36,-4.06,123.56,9.15,22.00,117.17
242.,Dilip Buildcon,/company/DBL/consolidated/,396.80,98.02,5788.42,0.03,112.86,122.95,2876.84,23.87,5.34,117.13
243.,Bengal & Assam,/company/533095/consolidated/,7748.30,6.44,8752.73,0.32,3062.22,84.63,3777.30,-5.40,9.76,117.06
244.,Summit Securitie,/company/SUMMITSEC/consolidated/,1217.40,20.01,1328.94,0.00,14.65,245.52,17.87,522.65,0.98,117.01
245.,BF Utilities,/company/BFUTILITIE/consolidated/,698.55,19.03,2626.93,0.00,76.04,16.61,245.53,48.22,25.72,116.87
246.,Ahluwalia Contr.,/company/AHLUCONT/consolidated/,1026.50,27.76,6880.91,0.04,70.66,57.02,1026.48,38.11,24.70,115.86
247.,Indrapr.Medical,/company/INDRAMEDCO/,168.75,13.69,1542.34,1.78,29.44,40.86,306.46,10.66,34.33,115.11
248.,Varun Beverages,/company/VBL/consolidated/,1398.75,85.75,181695.32,0.09,143.76,76.55,2667.69,20.48,28.82,114.70
249.,Adani Green,/company/ADANIGREEN/consolidated/,1821.55,175.46,288508.57,0.00,256.00,136.97,2311.00,17.25,7.81,114.64
250.,Multi Comm. Exc.,/company/MCX/consolidated/,3178.55,23494.00,16210.86,0.60,-5.35,-113.79,191.53,33.41,13.16,114.56
,,,,,,,,,,,,
251.,Praveg,/company/531637/,898.45,125.08,2067.55,0.50,8.09,-29.71,32.89,16.10,56.15,114.38
252.,KFin Technolog.,/company/KFINTECH/consolidated/,584.70,43.80,10012.04,0.00,66.83,25.20,218.72,16.26,29.34,114.29
253.,Zensar Tech.,/company/ZENSARTECH/consolidated/,578.30,21.43,13094.48,0.86,161.70,111.37,1204.10,0.54,14.51,114.19
254.,Graphite India,/company/GRAPHITE/consolidated/,593.30,248.50,11609.72,1.43,17.00,-70.76,690.00,-1.57,7.20,113.99
255.,Dredging Corpn.,/company/DREDGECORP/,645.50,39.11,1788.68,0.00,27.23,96.75,265.42,-28.52,2.51,113.56
256.,Navkar Corporat.,/company/NAVKARCORP/,100.55,302.12,1510.60,0.00,-14.80,-127.59,116.84,17.56,3.00,113.48
257.,Va Tech Wabag,/company/WABAG/consolidated/,691.50,14.21,4300.47,0.00,62.60,4.61,704.40,8.11,19.53,113.26
258.,Dec.Gold Mines,/company/512068/consolidated/,103.30,,1521.27,0.00,-9.46,-1026.19,0.31,,-2.37,112.68
259.,IRB Infra.Devl.,/company/IRB/consolidated/,54.10,59.74,32682.85,0.37,187.42,32.58,1968.54,30.01,8.67,112.57
260.,Suven Life Scie.,/company/SUVEN/consolidated/,101.75,,2223.20,0.00,-41.76,18.31,2.45,-18.33,-52.70,111.76
261.,Aditya Vision,/company/540205/,3124.95,52.71,4005.84,0.24,22.17,13.58,413.26,30.02,25.24,111.25
262.,IIFL Securities,/company/IIFLSEC/consolidated/,110.35,8.11,3392.49,2.72,150.51,132.39,558.78,63.38,22.88,111.20
263.,BLS Internat.,/company/BLS/consolidated/,325.50,47.18,13396.20,0.23,87.19,24.72,437.88,0.00,31.60,110.95
264.,RPG LifeScience.,/company/RPGLIFE/,1501.75,29.41,2493.26,0.80,26.46,38.46,153.70,17.69,33.18,109.68
265.,Xchanging Sol.,/company/XCHANGING/consolidated/,119.70,108.20,1335.14,25.06,-3.54,-151.16,42.48,2.71,9.23,109.08
,,,,,,,,,,,,
266.,Aurobindo Pharma,/company/AUROPHARMA/consolidated/,990.40,20.70,58039.91,0.45,939.97,90.69,7351.78,14.74,9.20,108.81
267.,NCC,/company/NCC/consolidated/,213.90,19.97,13414.62,1.03,230.96,39.92,5260.08,34.54,18.69,108.68
268.,Sharda Motor,/company/SHARDAMOTR/,1198.05,13.19,3558.60,1.44,75.08,62.93,689.12,0.45,37.88,108.65
269.,Cyient,/company/CYIENT/consolidated/,1975.05,30.57,21900.45,1.32,153.20,12.05,1821.40,12.56,19.79,107.69
270.,Shyam Metalics,/company/SHYAMMETL/consolidated/,574.00,14.96,15982.16,0.31,125.80,94.23,3315.29,13.47,15.01,107.30
271.,Vesuvius India,/company/VESUVIUS/,3293.35,31.40,6687.12,0.25,57.07,106.48,416.79,19.64,25.93,107.29
272.,Century Textiles,/company/CENTURYTEX/consolidated/,1400.15,115.73,15660.10,0.36,79.95,1080.95,1271.94,8.84,6.32,107.14
273.,Glenmark Pharma.,/company/GLENMARK/consolidated/,920.65,209.95,25994.87,0.27,-330.81,-338.60,2506.70,-19.14,14.20,106.96
274.,KEI Industries,/company/KEI/,3301.55,54.18,29818.01,0.11,150.67,17.15,2061.72,15.55,25.82,106.82
275.,Bharat Bijlee,/company/BBL/,5030.85,25.95,2849.04,0.80,29.69,28.58,423.74,9.20,8.85,106.77
,,,,,,,,,,,,
276.,Edelweiss.Fin.,/company/EDELWEISS/consolidated/,65.35,15.36,6159.30,2.30,152.28,23.53,2397.86,11.59,9.86,106.74
277.,TVS Holdings,/company/TVSHLTD/consolidated/,8203.15,20.82,16587.41,0.72,532.28,89.56,9996.37,17.95,11.93,106.41
278.,Ashoka Buildcon,/company/ASHOKA/consolidated/,154.10,12.76,4328.70,0.00,109.82,-21.16,2657.12,35.86,38.64,105.47
279.,Ujjivan Fin.Ser.,/company/UJJIVAN/consolidated/,506.80,7.52,6175.67,0.99,281.49,-5.67,1575.67,37.70,10.29,105.43
280.,MMTC,/company/MMTC/consolidated/,63.60,100.49,9542.89,0.00,55.71,-41.83,0.73,-99.90,23.01,105.16
281.,Power Mech Proj.,/company/POWERMECH/consolidated/,4523.95,30.08,7170.31,0.04,62.05,21.56,1107.50,21.82,22.18,104.95
282.,UCO Bank,/company/UCOBANK/,49.70,34.79,59456.36,0.00,502.83,-22.99,5551.89,19.99,4.75,104.53
283.,Kalyani Invest.,/company/KICL/consolidated/,3552.35,30.90,1556.63,0.00,6.08,-61.35,4.36,-65.31,1.38,104.41
284.,NHPC Ltd,/company/NHPC/consolidated/,82.45,22.26,82781.18,2.24,628.44,-26.76,2055.50,-20.41,8.49,103.83
285.,Zydus Lifesci.,/company/ZYDUSLIFE/consolidated/,969.85,30.04,98238.00,0.62,789.90,23.34,4505.20,5.83,14.96,103.66
286.,Chalet Hotels,/company/CHALET/consolidated/,743.50,62.91,15210.01,0.00,70.64,20.79,373.67,28.96,9.22,103.61
287.,Phoenix Mills,/company/PHOENIXLTD/consolidated/,2633.80,47.53,47075.54,0.19,344.86,58.39,986.09,44.20,9.94,103.43
288.,S H Kelkar & Co.,/company/SHK/consolidated/,182.95,27.03,2537.14,1.09,32.13,147.73,496.00,28.86,8.04,103.39
289.,Nucleus Soft.,/company/NUCLEUS/consolidated/,1171.20,15.13,3133.43,0.85,41.31,7.75,204.13,20.55,27.11,102.88
290.,Nippon Life Ind.,/company/NAM-INDIA/consolidated/,434.75,28.42,27349.47,2.65,284.27,38.56,423.32,19.65,26.64,102.54
,,,,,,,,,,,,
291.,B.L.Kashyap,/company/BLKASHYAP/consolidated/,61.35,47.78,1385.68,0.00,6.91,-77.07,324.00,28.18,13.77,102.14
292.,Caplin Point Lab,/company/CAPLIPOINT/consolidated/,1276.05,22.08,9641.76,0.35,119.82,20.34,435.50,17.05,26.32,102.07
293.,EFC (I),/company/512008/consolidated/,322.80,43.24,1606.79,0.00,21.12,405.50,172.08,553.80,10.93,101.75
294.,Nava,/company/NAVA/consolidated/,470.80,7.50,6829.22,1.27,465.03,3.92,929.95,5.67,16.83,101.63
295.,PTC India,/company/PTC/consolidated/,179.35,10.47,5308.94,4.35,97.04,-13.52,3471.65,10.60,9.21,101.40
296.,NRB Bearings,/company/NRBBEARING/consolidated/,260.90,23.37,2537.76,1.95,166.12,-2.79,258.41,2.92,16.57,101.31
297.,Gokaldas Exports,/company/GOKEX/consolidated/,735.80,33.36,4465.71,0.14,30.42,-25.04,551.57,6.30,21.42,101.26
298.,AXISCADES Tech.,/company/AXISCADES/consolidated/,563.25,59.01,2361.46,0.00,7.54,-31.71,232.23,7.67,22.85,100.95
299.,AGI Greenpac,/company/AGI/,729.70,16.69,4716.53,0.69,67.12,26.09,622.26,9.69,14.76,100.72
300.,Pricol Ltd,/company/PRICOLLTD/consolidated/,353.95,33.46,4313.39,0.00,34.02,27.13,572.59,20.78,20.06,100.54
,,,,,,,,,,,,
301.,Bharat Electron,/company/BEL/consolidated/,185.40,37.98,135558.99,0.97,860.26,40.22,4162.16,0.22,29.92,100.11
