Number,Name,link,cmp,PE,MarCap,DivYld,NpQtr,QtrProfitVar,SalesQtr,QtrSalesVar,ROCE,oneYRetun
281.,Power Mech Proj.,/company/POWERMECH/consolidated/,4523.95,30.08,7170.31,0.04,62.05,21.56,1107.50,21.82,22.18,104.95
282.,UCO Bank,/company/UCOBANK/,49.70,34.79,59456.36,0.00,502.83,-22.99,5551.89,19.99,4.75,104.53
283.,Kalyani Invest.,/company/KICL/consolidated/,3552.35,30.90,1556.63,0.00,6.08,-61.35,4.36,-65.31,1.38,104.41
284.,NHPC Ltd,/company/NHPC/consolidated/,82.45,22.26,82781.18,2.24,628.44,-26.76,2055.50,-20.41,8.49,103.83
285.,Zydus Lifesci.,/company/ZYDUSLIFE/consolidated/,969.85,30.04,98238.00,0.62,789.90,23.34,4505.20,5.83,14.96,103.66
286.,Chalet Hotels,/company/CHALET/consolidated/,743.50,62.91,15210.01,0.00,70.64,20.79,373.67,28.96,9.22,103.61
287.,Phoenix Mills,/company/PHOENIXLTD/consolidated/,2633.80,47.53,47075.54,0.19,344.86,58.39,986.09,44.20,9.94,103.43
288.,S H Kelkar & Co.,/company/SHK/consolidated/,182.95,27.03,2537.14,1.09,32.13,147.73,496.00,28.86,8.04,103.39
289.,Nucleus Soft.,/company/NUCLEUS/consolidated/,1171.20,15.13,3133.43,0.85,41.31,7.75,204.13,20.55,27.11,102.88
290.,Nippon Life Ind.,/company/NAM-INDIA/consolidated/,434.75,28.42,27349.47,2.65,284.27,38.56,423.32,19.65,26.64,102.54
,,,,,,,,,,,,
291.,B.L.Kashyap,/company/BLKASHYAP/consolidated/,61.35,47.78,1385.68,0.00,6.91,-77.07,324.00,28.18,13.77,102.14
292.,Caplin Point Lab,/company/CAPLIPOINT/consolidated/,1276.05,22.08,9641.76,0.35,119.82,20.34,435.50,17.05,26.32,102.07
293.,EFC (I),/company/512008/consolidated/,322.80,43.24,1606.79,0.00,21.12,405.50,172.08,553.80,10.93,101.75
294.,Nava,/company/NAVA/consolidated/,470.80,7.50,6829.22,1.27,465.03,3.92,929.95,5.67,16.83,101.63
295.,PTC India,/company/PTC/consolidated/,179.35,10.47,5308.94,4.35,97.04,-13.52,3471.65,10.60,9.21,101.40
296.,NRB Bearings,/company/NRBBEARING/consolidated/,260.90,23.37,2537.76,1.95,166.12,-2.79,258.41,2.92,16.57,101.31
297.,Gokaldas Exports,/company/GOKEX/consolidated/,735.80,33.36,4465.71,0.14,30.42,-25.04,551.57,6.30,21.42,101.26
298.,AXISCADES Tech.,/company/AXISCADES/consolidated/,563.25,59.01,2361.46,0.00,7.54,-31.71,232.23,7.67,22.85,100.95
299.,AGI Greenpac,/company/AGI/,729.70,16.69,4716.53,0.69,67.12,26.09,622.26,9.69,14.76,100.72
300.,Pricol Ltd,/company/PRICOLLTD/consolidated/,353.95,33.46,4313.39,0.00,34.02,27.13,572.59,20.78,20.06,100.54
